X-Coordinates	Y-Coordinates
686.11259	280.74386
668.86067	253.86842
737.71622	111.1477
809.03039	313.55204
657.55133	263.98837
586.22662	289.93941
606.03081	280.37082
668.62375	191.62195
876.469	347.08659
765.61718	471.09733
778.16521	-30.34993
657.5876	431.07986
738.52716	274.74089
725.04876	323.8411
584.47863	281.71274
644.77162	266.22005
771.09076	182.72611
629.83688	274.55457
795.80305	70.51755
709.38117	271.67787
793.28931	72.53987
646.31138	267.84893
620.43424	274.68704
920.20141	370.6665
804.12062	63.48182
812.54002	310.13913
629.95478	270.83031
715.27841	298.8552
696.85272	483.70619
824.86958	318.61175
758.70683	298.36828
821.62575	316.78009
653.18035	147.31443
642.50384	124.76787
651.38189	140.34239
660.1012	485.30806
697.02552	280.46024
671.80152	489.74542
617.80484	267.10073
794.73853	80.03017
688.66377	229.20098
894.95554	352.95238
718.99445	127.64703
767.69881	185.31103
666.44294	479.13249
679.71512	314.85464
898.93025	359.06878
696.31285	301.55368
714.97231	401.24193
769.85001	117.11454
703.91247	310.07628
710.57565	517.79822
772.46627	293.32409
714.57113	513.4549
748.97684	113.066
785.44235	105.67034
810.97619	300.31443
738.60344	476.894
616.64299	265.66507
818.77715	306.09096
802.36788	304.90052
608.72298	276.52811
740.18226	495.4439
622.30295	277.60343
658.29887	483.00438
593.73299	286.04335
713.33013	520.43737
673.33507	443.9071
768.7304	301.26226
675.9273	485.97037
658.00969	247.05843
783.64535	153.29171
716.05564	530.34993
802.80561	310.3362
687.64392	239.04521
623.25963	299.88599
831.82909	319.11545
793.57675	-20.22793
659.67511	459.04491
676.03704	258.30833
770.68155	220.87097
660.84164	136.32458
680.18438	268.99674
666.17023	274.69971
722.85033	505.34002
765.93884	99.68248
887.89732	336.24038
654.54944	231.66829
605.96995	278.49026
727.44346	510.60844
625.90394	109.28421
820.38322	61.50271
710.06408	172.03659
641.22088	277.77659
785.15874	222.26927
665.12655	470.2239
735.1772	118.6793
588.39157	289.05984
653.79771	465.94361
684.84261	461.84672
796.89835	15.80766
715.79347	157.5839
778.48818	105.343
774.84264	-4.91153
687.71435	154.50876
593.89186	290.90327
693.77198	253.0406
649.29542	477.41839
652.05032	255.18552
813.52934	207.81527
754.73306	134.98495
735.70991	115.69127
774.25397	167.9642
817.84466	67.76738
669.46378	171.45867
662.35916	471.49303
680.06381	472.51411
676.10574	275.91141
688.09717	265.52104
799.93885	66.3616
613.17413	266.39996
834.02605	205.81529
673.90385	464.09004
773.20165	34.34852
670.51627	282.79107
727.43068	127.46256
690.37524	298.90743
870.3433	336.3175
777.46879	219.54959
615.72002	270.49993
668.0202	188.68839
861.26082	320.2497
649.49543	141.2667
791.08029	-15.22285
753.52328	104.12575
778.33745	16.21379
587.86695	282.09209
798.18164	95.19901
680.46538	280.42046
866.08548	322.28599
776.52722	261.79255
631.57611	317.68899
721.68942	116.16114
782.27906	-11.77343
650.35542	132.48525
737.3163	270.72178
666.82552	231.07896
706.88509	305.07585
741.34399	298.2182
790.47372	67.88623
816.83391	56.70732
922.94446	373.79012
709.00934	125.9369
817.04552	312.70703
666.1564	152.97862
684.32204	473.76372
689.9139	478.48801
765.96725	218.16607
654.32859	245.44606
606.94429	283.91619
681.71579	491.46127
718.09702	417.36177
828.39005	318.76328
709.86487	114.39438
646.05793	476.32416
822.52649	205.97947
701.16774	226.4572
740.91327	278.63551
691.8433	247.82743
789.87014	-24.01225
640.25635	288.33435
700.61498	245.98605
684.77536	321.13163
755.91044	96.40809
733.73707	506.25771
877.97634	336.90071
899.72166	352.41255
803.85443	40.66801
777.00417	154.78961
657.65317	473.61494
797.03935	27.13377
664.95987	485.72554
872.86101	332.02526
670.75729	160.61153
605.92751	289.04142
614.10192	287.63574
604.17984	257.64266
582.08307	297.87621
727.0051	283.80709
715.36783	528.28207
856.16454	328.68679
669.1199	466.77377
664.88652	474.06008
621.87868	278.1232
661.65244	479.10714
638.80437	265.84071
589.68772	286.98614
702.47116	498.35657
754.43764	120.82582
806.47465	71.51627
662.14588	493.26159
663.65886	482.90648
754.54183	296.62903
678.88502	467.21905
804.46885	312.27835
592.43471	289.61601
785.15211	-30.10752
687.76732	117.15314
672.45193	475.03068
756.27365	328.81892
776.22584	-25.7955
796.56233	-14.15625
773.88864	302.02428
658.75429	475.17956
849.20986	325.92765
747.27023	285.11619
632.30524	262.27774
648.01981	282.71794
799.85889	25.60013
659.57913	482.17996
665.08201	481.47026
791.8493	-17.53624
699.37944	204.39492
708.27749	194.19415
786.23248	305.83112
779.33297	96.74785
685.91368	265.32237
589.57718	283.70475
624.38246	106.06822
702.49575	119.47873
812.46906	306.20508
741.5088	112.51318
630.82543	281.26853
751.08129	110.70874
672.84015	482.62681
679.10679	271.1097
586.41684	301.72078
652.6757	226.67982
619.32011	284.84977
661.98058	469.71767
652.24007	484.39493
894.74072	361.45631
862.53965	337.27156
658.15036	249.45734
674.99994	280.82832
652.82243	164.46317
866.96552	335.91635
582.49397	289.75469
712.43164	300.6654
667.50808	484.89562
880.88578	345.66877
800.78777	312.4659
763.39483	474.04147
637.89202	257.3802
672.8439	258.25775
753.68702	491.71265
617.59041	289.21488
770.49092	120.4705
659.65847	486.27623
705.66677	139.34553
674.51062	456.28941
678.83043	490.45589
789.32642	307.16401
630.87023	268.65723
693.46758	280.61908
627.05128	280.24944
697.09301	299.76294
609.73097	289.14855
682.33853	468.70512
817.15974	307.88093
698.33235	193.09935
745.40523	460.82143
836.04622	308.92005
610.33596	269.93503
830.4135	205.16104
831.13715	206.42572
672.51591	487.84762
728.40595	129.8905
587.3939	290.30951
726.83834	492.03245
694.41356	236.39717
687.85673	323.29479
667.31387	257.29412
678.4225	470.4272
788.99146	60.38734
769.29036	186.56146
656.61201	300.87535
904.0568	362.46441
681.39676	478.72089
637.74189	277.08507
806.37672	87.96322
666.33569	483.02185
662.53266	486.2922
669.37411	235.04591
800.52526	64.02138
588.02682	284.50857
788.66008	-29.69056
757.34942	127.29975
711.11305	298.70247
654.23719	469.01335
794.98751	-22.30753
794.4293	87.28376
664.01111	188.37535
775.67661	169.02546
745.34038	487.32134
612.02017	288.91251
600.57756	269.80516
787.04381	-24.98931
727.95287	124.18929
767.95346	119.45874
656.87371	213.38427
659.16997	166.37088
658.5995	462.05873
715.42167	276.04788
697.41171	304.45033
732.26893	118.01736
668.44616	239.70799
731.31109	299.19787
653.57664	445.07771
757.8001	449.71732
664.62968	484.20633
815.15495	69.21799
666.86832	499.69999
686.79128	476.43873
607.53537	269.2508
796.51538	10.34968
702.61616	284.29067
676.923	169.02436
782.60669	156.34681
777.98299	-26.35215
807.57551	78.2446
661.89258	484.12965
792.62325	-22.92779
792.44247	78.31041
801.08438	90.39947
710.57334	525.40215
804.9613	48.91177
784.66593	220.70316
721.23618	225.70155
621.91358	285.42959
622.53522	276.10508
775.62276	294.17767
602.71353	285.20648
771.05669	228.25788
591.84869	280.44428
647.26462	159.46764
713.87833	511.84086
783.00278	220.91226
841.14492	320.20671
675.07507	477.17992
666.12542	214.55073
708.83454	306.1143
780.3778	221.46634
688.86734	244.65338
776.44008	112.01848
785.44459	-12.48804
901.42891	347.7705
783.39003	79.14034
718.90902	299.43021
764.59846	152.17749
758.12502	112.54407
802.84725	91.31421
819.27391	62.46359
795.3355	-19.59294
658.78877	225.32911
633.65585	268.58243
782.43658	217.21372
711.73758	304.86263
778.14583	211.36209
724.34785	296.79433
651.88782	493.43593
908.20448	366.16741
840.54838	314.76707
